"행정동_코드_명","유동인구_30대비율","상주인구_30대비율","유동인구_순위","상주인구_순위","전체_행정동_수","구분_강조"
대림1동,15.12,11.63,242,364,397,기타
망우3동,15.08,13.67,243,270,397,기타
상일동,15.06,13.33,244,288,397,기타
신정4동,15.05,15.45,247,199,397,기타
역촌동,15.05,14.04,246,258,397,기타
신월2동,15.05,13.11,245,306,397,기타
천호1동,15.02,15.10,249,210,397,기타
구의2동,15.02,13.71,248,266,397,기타
고덕2동,14.97,16.34,250,164,397,기타
수유3동,14.97,15.90,252,183,397,기타
시흥3동,14.97,12.94,251,313,397,기타
우장산동,14.96,15.15,253,207,397,기타
면목4동,14.92,13.31,254,293,397,기타
신사2동,14.91,13.62,255,273,397,기타
창1동,14.88,14.66,256,231,397,기타
중화2동,14.86,14.68,257,229,397,기타
숭인1동,14.84,12.26,258,342,397,기타
정릉2동,14.83,14.65,259,232,397,기타
보문동,14.80,16.80,260,149,397,기타
묵1동,14.79,15.82,261,187,397,기타
광장동,14.78,14.70,262,228,397,기타
신사1동,14.74,13.97,263,259,397,기타
개봉1동,14.72,14.55,265,238,397,기타
신길3동,14.72,12.60,264,326,397,기타
면목2동,14.70,13.60,267,276,397,기타
증산동,14.70,13.17,266,303,397,기타
동선동,14.69,18.88,268,95,397,기타
고척1동,14.68,14.21,269,255,397,기타
진관동,14.65,23.34,271,32,397,기타
쌍문3동,14.65,15.20,270,205,397,기타
북가좌2동,14.65,13.58,272,279,397,기타
성현동,14.64,15.73,273,191,397,기타
중화1동,14.62,14.97,274,217,397,기타
신월5동,14.60,13.30,275,295,397,기타
장위2동,14.59,13.01,276,308,397,기타
응암3동,14.57,13.31,277,291,397,기타
거여1동,14.51,13.78,278,263,397,기타
쌍문2동,14.47,13.66,279,272,397,기타
둔촌2동,14.44,15.06,280,213,397,기타
천연동,14.41,12.41,281,335,397,기타
중곡4동,14.36,14.22,282,254,397,기타
청림동,14.36,12.28,283,340,397,기타
개봉3동,14.35,13.01,284,309,397,기타
창5동,14.31,17.27,285,132,397,기타
