"행정동_코드_명","유동인구_30대비율","상주인구_30대비율","유동인구_순위","상주인구_순위","전체_행정동_수","혜화동여부"
역삼1동,27.63,28.64,1,10,397,0
여의동,27.37,19.29,2,86,397,0
양평2동,26.65,26.43,3,14,397,0
논현1동,26.20,25.44,4,17,397,0
가산동,26.17,29.37,5,9,397,0
구로3동,26.09,33.75,6,3,397,0
논현2동,25.87,24.25,7,25,397,0
서초2동,24.98,25.13,8,19,397,0
문정2동,24.90,36.82,9,1,397,0
상암동,24.84,22.27,10,43,397,0
원효로1동,24.78,25.27,11,18,397,0
압구정동,24.72,17.25,12,134,397,0
소공동,24.65,15.03,13,216,397,0
반포1동,24.50,27.05,14,11,397,0
합정동,24.41,22.03,16,49,397,0
삼성2동,24.41,21.99,15,50,397,0
이태원1동,24.39,19.55,17,80,397,0
한남동,24.37,18.90,18,93,397,0
신림동,24.13,29.58,19,7,397,0
한강로동,24.03,23.65,20,31,397,0
성수1가2동,23.97,19.35,21,82,397,0
영등포동,23.76,30.84,22,5,397,0
등촌1동,23.57,23.82,23,29,397,0
이태원2동,23.55,18.62,24,100,397,0
명동,23.44,15.03,25,215,397,0
당산2동,23.43,32.74,26,4,397,0
가양3동,23.40,15.38,27,200,397,0
방이2동,23.36,24.29,28,22,397,0
양평1동,23.28,29.75,29,6,397,0
잠원동,23.23,22.50,30,41,397,0
성수2가3동,23.12,21.76,31,56,397,0
조원동,22.94,22.20,32,45,397,0
당산1동,22.72,24.99,33,20,397,0
독산1동,22.61,26.52,34,13,397,0
망원1동,22.22,18.93,35,92,397,0
회현동,22.17,8.94,36,391,397,0
역삼2동,22.14,18.85,37,97,397,0
염창동,22.07,29.45,38,8,397,0
양재1동,22.02,20.02,39,74,397,0
양재2동,22.01,19.60,40,79,397,0
송파1동,21.99,23.01,41,35,397,0
연남동,21.98,21.95,43,52,397,0
광희동,21.98,21.40,42,59,397,0
청담동,21.94,17.28,44,131,397,0
중림동,21.66,16.35,45,163,397,0
도화동,21.63,21.16,46,64,397,0
능동,21.60,22.91,47,37,397,0
서교동,21.59,21.36,48,61,397,0
석촌동,21.55,21.76,49,55,397,0
북아현동,21.50,13.61,50,275,397,0
서원동,21.41,25.75,51,15,397,0
가양1동,21.36,36.04,52,2,397,0
충현동,21.23,22.44,53,42,397,0
도곡1동,21.13,22.80,55,40,397,0
